dateTime,code,SSC
1978-06-05,80154,247.0
1978-07-12,80154,359.0
1978-08-15,80154,367.0
1978-09-14,80154,159.0
1978-10-23,80154,196.0
1978-11-13,80154,154.0
1978-11-17,80154,1020.0
1978-12-12,80154,539.0
1979-01-08,80154,300.0
1979-02-08,80154,333.0
1979-03-06,80154,535.0
1979-04-02,80154,226.0
1979-05-10,80154,236.0
1979-06-11,80154,195.0
1979-06-20,80154,78.0
1979-08-06,80154,313.0
1979-09-07,80154,261.0
1979-10-01,80154,265.0
1979-11-02,80154,193.0
1979-12-19,80154,201.0
1980-01-07,80154,247.0
1980-02-04,80154,239.0
1980-04-10,80154,283.0
1980-05-09,80154,324.0
1980-06-10,80154,200.0
1980-07-07,80154,391.0
1980-08-04,80154,222.0
1980-09-03,80154,262.0
1980-10-17,80154,154.0
1980-11-13,80154,210.0
1980-12-01,80154,209.0
1981-01-12,80154,139.0
1981-02-03,80154,99.0
1981-03-13,80154,328.0
1981-04-20,80154,111.0
1981-05-04,80154,410.0
1981-06-01,80154,550.0
1981-08-06,80154,488.0
1981-10-09,80154,128.0
1981-12-07,80154,96.0
1982-02-17,80154,470.0
1982-04-09,80154,334.0
1982-05-10,80154,243.0
1982-06-10,80154,711.0
1982-07-12,80154,273.0
1982-08-05,80154,450.0
1982-10-07,80154,265.0
1982-12-11,80154,581.0
1982-12-21,80154,362.0
1983-01-25,80154,302.0
1983-05-17,80154,151.0
1983-06-22,80154,151.0
1983-07-19,80154,281.0
1983-08-15,80154,115.0
1983-09-12,80154,122.0
1983-10-03,80154,81.0
1983-11-14,80154,103.0
1983-12-06,80154,404.0
1984-01-09,80154,166.0
1984-02-14,80154,531.0
1984-03-07,80154,380.0
1984-04-16,80154,204.0
1984-04-30,80154,179.0
1984-06-26,80154,481.0
1984-07-19,80154,253.0
1984-08-21,80154,118.0
1984-09-04,80154,86.0
1984-10-15,80154,153.0
1984-11-05,80154,259.0
1984-12-03,80154,205.0
1985-01-07,80154,304.0
1985-02-13,80154,420.0
1985-03-11,80154,252.0
1985-04-11,80154,196.0
1985-05-20,80154,215.0
1985-06-06,80154,191.0
1985-07-22,80154,120.0
1985-08-13,80154,159.0
1985-09-09,80154,143.0
1985-10-01,80154,111.0
1985-11-18,80154,228.0
1985-12-03,80154,361.0
1986-01-28,80154,119.0
1986-02-18,80154,429.0
1986-03-17,80154,155.0
1986-04-15,80154,168.0
1986-06-16,80154,261.0
1986-07-21,80154,394.0
1986-08-12,80154,173.0
1986-09-02,80154,207.0
1986-11-18,80154,226.0
1986-12-08,80154,261.0
1987-01-27,80154,200.0
1987-02-09,80154,196.0
1987-03-03,80154,303.0
1987-04-07,80154,295.0
1987-05-11,80154,249.0
1987-06-09,80154,278.0
1987-07-13,80154,236.0
1987-08-13,80154,165.0
1987-09-01,80154,148.0
1987-10-20,80154,81.0
1987-11-17,80154,177.0
1987-12-02,80154,255.0
1988-01-05,80154,548.0
1988-02-22,80154,272.0
1988-03-15,80154,239.0
1988-04-05,80154,252.0
1988-05-10,80154,155.0
1988-06-09,80154,102.0
1988-07-05,80154,30.0
1988-10-12,80154,111.0
1988-11-14,80154,69.0
1988-12-22,80154,129.0
1989-01-17,80154,351.0
1989-02-15,80154,238.0
1989-03-14,80154,213.0
1989-03-30,80154,202.0
1989-05-19,80154,246.0
1989-06-26,80154,182.0
1989-07-11,80154,169.0
1989-08-08,80154,136.0
1989-09-11,80154,85.0
1989-10-06,80154,183.0
1989-12-01,80154,215.0
1989-12-21,80154,75.0
1990-01-08,80154,403.0
1990-02-20,80154,250.0
1990-03-05,80154,183.0
1990-04-17,80154,170.0
1990-05-01,80154,160.0
1990-06-25,80154,222.0
1990-07-17,80154,262.0
1990-08-14,80154,228.0
1990-09-17,80154,106.0
1990-10-30,80154,138.0
1990-11-13,80154,94.0
1990-12-12,80154,253.0
1991-01-15,80154,263.0
1991-02-25,80154,238.0
1991-03-12,80154,174.0
1991-04-02,80154,238.0
1991-05-06,80154,198.0
1991-06-17,80154,272.0
1991-07-23,80154,118.0
1991-09-23,80154,90.0
1991-11-05,80154,360.0
1991-12-10,80154,414.0
1992-01-28,80154,187.0
1992-02-26,80154,172.0
1992-03-25,80154,225.0
1992-05-14,80154,228.0
1992-05-26,80154,177.0
1992-06-17,80154,255.0
1992-07-15,80154,162.0
1992-08-18,80154,368.0
1992-09-15,80154,115.0
1992-10-14,80154,157.0
1992-11-17,80154,179.0
1992-12-15,80154,141.0
1993-01-26,80154,223.0
1993-03-03,80154,415.0
1993-04-20,80154,184.0
1993-05-24,80154,201.0
1993-06-22,80154,288.0
1993-07-28,80154,260.0
1993-08-23,80154,157.0
1993-09-20,80154,239.0
1993-11-08,80154,116.0
1994-01-24,80154,196.0
1994-03-14,80154,129.0
1994-06-28,80154,133.0
1994-08-30,80154,82.0
1994-10-20,80154,82.0
1995-01-23,80154,267.0
1995-02-21,80154,186.0
1995-04-24,80154,832.0
1995-06-14,80154,111.0
1995-08-07,80154,113.0
1995-10-12,80154,72.0
1995-10-17,80154,239.0
1995-12-06,80154,484.0
1996-02-07,80154,437.0
1996-05-01,80154,334.0
1996-05-31,80154,166.0
1996-06-11,80154,110.0
1996-11-25,80154,308.0
1997-01-15,80154,183.0
1997-02-03,80154,387.0
1997-02-20,80154,244.0
1997-03-26,80154,242.0
1997-04-08,80154,103.0
1997-04-24,80154,173.0
1997-05-06,80154,229.0
1997-06-09,80154,218.0
1997-06-19,80154,82.0
1997-07-09,80154,191.0
1997-08-04,80154,83.0
1997-08-26,80154,64.0
1997-09-23,80154,47.0
1997-11-17,80154,76.0
1997-12-16,80154,72.0
1998-01-28,80154,160.0
1998-02-27,80154,278.0
1998-04-02,80154,214.0
1998-04-30,80154,140.0
1998-05-13,80154,105.0
1998-05-28,80154,118.0
1998-06-25,80154,230.0
1998-07-09,80154,227.0
1998-08-19,80154,96.0
1998-09-28,80154,183.0
1998-11-18,80154,354.0
1998-12-08,80154,145.0
1999-01-12,80154,225.0
1999-02-10,80154,228.0
1999-03-15,80154,134.0
1999-04-19,80154,177.0
1999-04-28,80154,230.0
1999-05-06,80154,277.0
1999-05-26,80154,156.0
1999-06-24,80154,202.0
1999-08-05,80154,173.0
1999-11-11,80154,49.0
2000-01-27,80154,74.0
2000-02-17,80154,37.0
2000-03-14,80154,198.0
2000-03-29,80154,213.0
2000-05-10,80154,120.0
2000-05-23,80154,205.0
2000-06-06,80154,198.0
2000-06-23,80154,127.0
2000-11-28,80154,159.0
2001-01-24,80154,482.0
2001-02-27,80154,359.0
2001-04-02,80154,278.0
2001-04-16,80154,156.0
2001-04-23,80154,291.0
2001-05-07,80154,212.0
2001-05-21,80154,173.0
2001-07-10,80154,277.0
2001-07-18,80154,115.0
2001-08-27,80154,83.0
2001-10-30,80154,120.0
2001-12-18,80154,242.0
2002-01-22,80154,138.0
2002-02-18,80154,258.0
2002-03-13,80154,84.0
2002-03-25,80154,425.0
2002-04-10,80154,145.0
2002-05-28,80154,160.0
2002-06-11,80154,93.0
2002-08-05,80154,75.0
2002-08-19,80154,88.0
2002-09-09,80154,97.0
2002-11-12,80154,164.0
2003-01-14,80154,139.0
2003-02-12,80154,159.0
2003-02-24,80154,562.0
2003-03-10,80154,197.0
2003-03-24,80154,169.0
2003-04-29,80154,133.0
2003-05-27,80154,141.0
2003-06-16,80154,133.0
2003-07-14,80154,87.0
2003-08-12,80154,77.0
2003-09-23,80154,100.0
2003-10-27,80154,55.0
2003-12-09,80154,119.0
2004-01-29,80154,214.0
2004-02-17,80154,205.0
2004-03-02,80154,163.0
2004-03-30,80154,162.0
2004-05-18,80154,191.0
2004-06-08,80154,318.0
2004-06-22,80154,152.0
2004-07-20,80154,128.0
2004-08-17,80154,77.0
2004-09-14,80154,175.0
2004-10-26,80154,70.0
2004-11-16,80154,201.0
2004-12-21,80154,172.0
2005-03-22,80154,100.0
2005-04-13,80154,222.0
2005-05-10,80154,203.0
2005-06-14,80154,68.0
2005-06-28,80154,217.0
2005-07-12,80154,77.0
2005-08-10,80154,38.0
2005-09-07,80154,116.0
2005-10-11,80154,94.0
2005-11-16,80154,62.0
2006-01-10,80154,60.0
2006-03-15,80154,124.0
2006-04-05,80154,156.0
2006-04-18,80154,148.0
2006-05-31,80154,83.0
2006-06-14,80154,70.0
2006-06-26,80154,71.0
2006-07-17,80154,47.0
2006-08-21,80154,61.0
2006-09-19,80154,61.0
2006-10-18,80154,148.0
2006-11-13,80154,182.0
2007-01-23,80154,226.0
2007-02-26,80154,116.0
2007-03-19,80154,192.0
2007-04-30,80154,166.0
2007-05-14,80154,281.0
2007-06-11,80154,134.0
2007-06-27,80154,170.0
2007-07-25,80154,311.0
2007-08-13,80154,161.0
2007-08-29,80154,111.0
2007-11-07,80154,173.0
2007-12-11,80154,67.0
2008-03-10,80154,234.0
2008-04-07,80154,105.0
2008-05-05,80154,49.0
2008-06-09,80154,19.0
2008-06-23,80154,275.0
2008-07-08,80154,155.0
2008-08-18,80154,186.0
2008-10-20,80154,74.0
2008-11-17,80154,88.0
2009-01-19,80154,207.0
2009-02-03,80154,110.0
2009-03-02,80154,183.0
2009-04-06,80154,175.0
2009-04-23,80154,170.0
2009-05-04,80154,146.0
2009-05-20,80154,110.0
2009-06-01,80154,73.0
2009-06-18,80154,116.0
2009-08-13,80154,137.0
2009-10-08,80154,171.0
2009-12-02,80154,168.0
2010-01-12,80154,156.0
2010-02-23,80154,145.0
2010-03-11,80154,106.0
2010-03-22,80154,180.0
2010-04-21,80154,130.0
2010-08-11,80154,193.0
2010-10-27,80154,83.0
2010-12-08,80154,176.0
2011-01-10,80154,124.0
2011-02-09,80154,78.0
2011-02-22,80154,71.0
2011-03-08,80154,569.0
2011-03-21,80154,150.0
2011-04-06,80154,110.0
2011-05-09,80154,74.0
2011-05-16,80154,70.0
2011-05-23,80154,70.0
2011-05-30,80154,61.0
2011-06-06,80154,46.0
2011-06-13,80154,72.0
2011-06-20,80154,91.0
2011-06-27,80154,172.0
2011-07-11,80154,179.0
2011-07-25,80154,149.0
2011-08-22,80154,95.0
2011-10-24,80154,60.0
2011-12-06,80154,281.0
2012-01-17,80154,131.0
2012-02-06,80154,193.0
2012-02-22,80154,163.0
2012-03-05,80154,92.0
2012-03-19,80154,167.0
2012-04-02,80154,139.0
2012-04-16,80154,124.0
2012-04-30,80154,101.0
2012-05-14,80154,167.0
2012-06-11,80154,100.0
2012-06-25,80154,61.0
2012-08-06,80154,72.0
2012-10-22,80154,67.0
2012-12-03,80154,51.5
2013-01-15,80154,308.0
2013-02-05,80154,189.0
2013-02-18,80154,175.0
2013-03-04,80154,165.0
2013-03-18,80154,107.0
2013-04-08,80154,132.0
2013-04-22,80154,159.0
2013-05-06,80154,210.0
2013-05-20,80154,105.0
2013-06-03,80154,97.0
2013-06-17,80154,165.0
2013-07-15,80154,173.0
2013-07-30,80154,120.0
2013-08-19,80154,159.0
2013-11-12,80154,86.0
2013-12-03,80154,138.0
2014-01-16,80154,144.0
2014-02-03,80154,134.0
2014-02-18,80154,199.0
2014-03-05,80154,263.0
2014-03-17,80154,139.0
2014-04-07,80154,155.0
2014-04-21,80154,180.0
2014-05-05,80154,160.0
2014-05-19,80154,143.0
2014-06-04,80154,139.0
2014-06-16,80154,202.0
2014-07-07,80154,276.0
2014-07-28,80154,160.0
2014-08-18,80154,77.0
2014-10-20,80154,209.0
2015-01-12,80154,151.0
2015-02-09,80154,50.0
2015-03-09,80154,163.0
2015-03-23,80154,245.0
2015-04-06,80154,87.0
2015-04-20,80154,164.0
2015-05-07,80154,77.0
2015-05-18,80154,250.0
2015-06-01,80154,269.0
2015-06-15,80154,168.0
2015-06-29,80154,292.0
2015-07-13,80154,91.0
2015-08-10,80154,126.0
2015-10-05,80154,88.0
2015-12-07,80154,262.0
2016-01-11,80154,135.0
2016-02-03,80154,101.0
2016-02-25,80154,111.0
2016-03-07,80154,189.0
2016-03-21,80154,140.0
2016-04-04,80154,122.0
2016-04-18,80154,170.0
2016-05-02,80154,120.0
2016-05-23,80154,204.0
2016-06-06,80154,154.0
2016-06-20,80154,162.0
2016-07-11,80154,107.0
2016-07-25,80154,110.0
2016-08-22,80154,137.0
2016-10-20,80154,114.0
2016-12-12,80154,109.0
2017-01-23,80154,314.0
2017-02-13,80154,177.0
2017-02-28,80154,89.0
2017-03-13,80154,216.0
2017-03-27,80154,144.0
2017-04-10,80154,185.0
2017-04-24,80154,224.0
2017-05-08,80154,194.0
2017-05-25,80154,55.0
2017-06-08,80154,85.0
2017-06-19,80154,87.0
2017-07-10,80154,139.0
2017-07-25,80154,102.0
2017-08-14,80154,119.0
2017-10-16,80154,81.0
2017-12-14,80154,73.0
